CH1,CH2,CH3
108.0,91.0,83.0
107.0,94.0,85.0
107.0,90.0,77.0
108.0,89.0,77.0
110.0,92.0,82.0
117.0,90.0,86.0
106.0,89.0,79.0
109.0,99.0,83.0
108.0,90.0,85.0
107.0,92.0,77.0
110.0,92.0,82.0
105.0,91.0,83.0
107.0,90.0,77.0
109.0,90.0,83.0
107.0,91.0,83.0
109.0,93.0,78.0
111.0,95.0,79.0
109.0,91.0,83.0
119.0,94.0,83.0
109.0,89.0,77.0
107.0,89.0,79.0
115.0,92.0,83.0
106.0,101.0,84.0
107.0,92.0,77.0
109.0,100.0,83.0
110.0,91.0,79.0
111.0,89.0,88.0
107.0,91.0,83.0
110.0,91.0,85.0
106.0,94.0,79.0
109.0,102.0,79.0
105.0,90.0,79.0
107.0,91.0,85.0
107.0,93.0,77.0
108.0,90.0,84.0
116.0,98.0,78.0
108.0,92.0,81.0
107.0,99.0,77.0
107.0,89.0,83.0
107.0,92.0,78.0
109.0,90.0,85.0
115.0,93.0,77.0
105.0,89.0,83.0
107.0,100.0,81.0
110.0,89.0,84.0
108.0,87.0,78.0
109.0,93.0,81.0
125.0,98.0,77.0
110.0,88.0,82.0
111.0,89.0,79.0
110.0,91.0,77.0
107.0,89.0,85.0
109.0,91.0,86.0
108.0,93.0,83.0
109.0,90.0,83.0
108.0,92.0,77.0
106.0,99.0,83.0
107.0,93.0,82.0
106.0,89.0,83.0
109.0,92.0,85.0
107.0,91.0,76.0
111.0,91.0,84.0
118.0,93.0,79.0
105.0,89.0,79.0
107.0,88.0,79.0
108.0,91.0,83.0
107.0,87.0,78.0
108.0,90.0,82.0
108.0,87.0,82.0
111.0,92.0,84.0
107.0,90.0,83.0
110.0,91.0,87.0
108.0,92.0,77.0
107.0,92.0,77.0
109.0,89.0,78.0
106.0,93.0,77.0
104.0,89.0,77.0
111.0,148.0,84.0
110.0,92.0,75.0
104.0,89.0,76.0
109.0,93.0,77.0
107.0,100.0,77.0
108.0,91.0,82.0
106.0,100.0,79.0
109.0,93.0,83.0
105.0,91.0,83.0
108.0,91.0,85.0
105.0,97.0,84.0
114.0,90.0,83.0
106.0,103.0,79.0
109.0,90.0,79.0
106.0,89.0,77.0
106.0,97.0,78.0
105.0,89.0,79.0
108.0,95.0,79.0
107.0,97.0,78.0
105.0,91.0,88.0
110.0,88.0,83.0
105.0,91.0,83.0
106.0,91.0,79.0
107.0,92.0,83.0
109.0,95.0,80.0
107.0,93.0,81.0
107.0,90.0,86.0
106.0,91.0,79.0
109.0,89.0,77.0
108.0,93.0,79.0
108.0,88.0,80.0
111.0,91.0,86.0
108.0,99.0,84.0
106.0,91.0,79.0
106.0,87.0,78.0
106.0,90.0,79.0
108.0,94.0,78.0
105.0,88.0,81.0
115.0,93.0,82.0
105.0,88.0,79.0
106.0,90.0,83.0
109.0,92.0,77.0
98.0,89.0,77.0
108.0,92.0,86.0
111.0,90.0,83.0
107.0,89.0,78.0
108.0,90.0,86.0
116.0,100.0,77.0
104.0,90.0,79.0
119.0,89.0,85.0
106.0,90.0,81.0
109.0,91.0,83.0
109.0,89.0,84.0
107.0,91.0,78.0
107.0,89.0,83.0
107.0,89.0,78.0
107.0,91.0,78.0
107.0,91.0,79.0
107.0,89.0,85.0
109.0,94.0,79.0
107.0,89.0,79.0
106.0,89.0,82.0
107.0,103.0,79.0
108.0,89.0,79.0
109.0,91.0,79.0
119.0,99.0,78.0
107.0,87.0,83.0
110.0,97.0,85.0
110.0,97.0,76.0
120.0,91.0,84.0
109.0,87.0,81.0
110.0,91.0,77.0
109.0,88.0,77.0
109.0,88.0,85.0
108.0,89.0,83.0
107.0,91.0,77.0
107.0,93.0,82.0
108.0,92.0,77.0
110.0,93.0,77.0
109.0,90.0,84.0
114.0,89.0,78.0
110.0,92.0,77.0
107.0,93.0,78.0
106.0,91.0,76.0
116.0,88.0,77.0
109.0,90.0,78.0
107.0,91.0,83.0
109.0,91.0,82.0
109.0,91.0,82.0
108.0,91.0,76.0
106.0,92.0,77.0
111.0,98.0,79.0
107.0,89.0,77.0
103.0,88.0,79.0
106.0,89.0,79.0
108.0,88.0,78.0
115.0,88.0,83.0
109.0,95.0,83.0
107.0,87.0,83.0
111.0,89.0,78.0
109.0,91.0,83.0
107.0,88.0,67.0
107.0,89.0,77.0
100.0,90.0,80.0
111.0,91.0,83.0
106.0,91.0,79.0
106.0,93.0,84.0
105.0,91.0,77.0
108.0,91.0,81.0
107.0,89.0,79.0
109.0,93.0,78.0
108.0,91.0,78.0
110.0,90.0,84.0
105.0,89.0,83.0
106.0,94.0,82.0
107.0,92.0,82.0
107.0,94.0,78.0
109.0,89.0,83.0
107.0,88.0,87.0
107.0,89.0,86.0
